team,elo,matches_played,first_match_date,last_match_date_x,career_points_per_game,career_goals_for_per_game,career_goals_against_per_game,career_goal_diff_per_game,career_win_rate,career_clean_sheet_rate,last_5_matches,last_5_points_per_game,last_5_goals_for_per_game,last_5_goals_against_per_game,last_5_goal_diff_per_game,last_5_win_rate,last_5_clean_sheet_rate,last_5_failed_to_score_rate,last_10_matches,last_10_points_per_game,last_10_goals_for_per_game,last_10_goals_against_per_game,last_10_goal_diff_per_game,last_10_win_rate,last_10_clean_sheet_rate,last_10_failed_to_score_rate,last_20_matches,last_20_points_per_game,last_20_goals_for_per_game,last_20_goals_against_per_game,last_20_goal_diff_per_game,last_20_win_rate,last_20_clean_sheet_rate,last_20_failed_to_score_rate,last_50_matches,last_50_points_per_game,last_50_goals_for_per_game,last_50_goals_against_per_game,last_50_goal_diff_per_game,last_50_win_rate,last_50_clean_sheet_rate,last_50_failed_to_score_rate,custom_elo,strength_score_v1,matches,weighted_goals_for,weighted_goals_against,attack_rating,defense_rating,last_10_goals_for,last_10_goals_against,last_20_goals_for,last_20_goals_against,last_50_goals_for,last_50_goals_against,last_match_date_y,net_rating,market_value_eur,elo_norm,market_norm,attack_norm,defense_norm,form_norm,intelligence_score,decimal_odds,market_champion_prob,source,market_score,intelligence_score_v2
Ecuador,1842.566648856128,367.0,1991-06-06,2026-03-31,1.3651226158038148,1.2561307901907357,1.1989100817438691,0.0572207084468664,0.3651226158038147,0.329700272479564,5.0,1.4,0.8,0.6,0.2,0.2,0.4,0.2,10.0,1.4,0.6,0.4,0.2,0.2,0.6,0.5,20.0,1.5,0.85,0.45,0.4,0.3,0.6,0.45,50.0,1.58,0.98,0.68,0.3,0.38,0.5,0.36,1791.9499834322432,982.3774925445094,367.0,1.2061538658319608,1.079184227950253,0.9258051181062096,0.7775553355167555,0.6,0.4,0.85,0.45,0.98,0.68,2026-03-31,0.0957232696586555,259050000.0,0.7812865991596019,0.6179955416230208,0.3299802884781325,0.4178097058554233,0.5185185185185185,0.591969546113501,101.0,0.0082939338522361,bet365,0.0543607132212725,0.5337697477491514
Sweden,1703.1152009284635,403.0,1990-02-21,2026-03-31,1.652605459057072,1.5558312655086848,1.032258064516129,0.5235732009925558,0.4739454094292804,0.379652605459057,5.0,1.4,1.6,1.8,-0.2,0.4,0.0,0.2,10.0,1.4,1.6,1.8,-0.2,0.4,0.1,0.3,20.0,1.65,1.85,1.4,0.45,0.5,0.25,0.25,50.0,1.54,1.68,1.42,0.26,0.48,0.26,0.24,1651.215006778394,839.0467530502773,403.0,1.568120856734127,1.1634153866602817,1.2127336625129572,0.8349376499950898,1.6,1.8,1.85,1.4,1.68,1.42,2026-03-31,0.3051101939843589,439380000.0,0.6206030241583763,0.7338047789421895,0.4909738045209077,0.3729664623124789,0.5185185185185185,0.582105145067839,126.0,0.0066483120561575,bet365,0.042791018475405,0.5177645520601415
Russia,1712.593066928048,335.0,1990-02-20,2026-03-31,1.692537313432836,1.635820895522388,1.0,0.6358208955223881,0.4686567164179104,0.3910447761194029,5.0,1.6,1.4,0.8,0.6,0.4,0.4,0.4,10.0,1.9,1.8,0.8,1.0,0.5,0.3,0.3,20.0,2.25,2.65,0.6,2.05,0.65,0.5,0.15,50.0,1.9,1.94,0.92,1.02,0.54,0.46,0.22,1712.593066928048,1114.6668801176215,335.0,1.713950669991672,0.9715500120291212,1.292159014567708,0.732458132037659,1.8,0.8,2.65,0.6,1.94,0.92,2026-03-31,0.559700882530049,242200000.0,0.6906811693784113,0.6032532167868007,0.5558351177629738,0.4864286823731457,0.7037037037037036,0.6192616538699325,999.0,0.0005852107019491,not_listed,0.0,0.48596317305135345
Austria,1755.892753261213,289.0,1990-02-28,2026-03-27,1.3771626297577857,1.4705882352941178,1.373702422145329,0.0968858131487889,0.3840830449826989,0.2768166089965398,5.0,2.4,2.0,0.6,1.4,0.8,0.4,0.2,10.0,2.0,1.9,0.8,1.1,0.6,0.3,0.2,20.0,1.85,2.05,1.0,1.05,0.55,0.2,0.15,50.0,1.72,1.78,1.12,0.66,0.52,0.28,0.16,1689.645823493014,1036.3406205718563,289.0,1.5715851733596302,1.2008495995442503,1.2779238188327713,0.8352018915950983,1.9,0.8,2.05,1.0,1.78,1.12,2026-03-27,0.2795000591987883,271700000.0,0.6644812495060841,0.6284461017190198,0.4925146425758782,0.3550562835466366,0.7407407407407407,0.5908896757493357,151.0,0.0055475981395751,bet365,0.0350417873440696,0.512491190435661
Canada,1760.8963410038853,232.0,1990-05-13,2026-03-31,1.4137931034482758,1.387931034482759,1.2586206896551724,0.1293103448275862,0.3922413793103448,0.3491379310344827,5.0,1.4,0.8,0.4,0.4,0.2,0.8,0.6,10.0,1.5,1.0,0.5,0.5,0.3,0.6,0.4,20.0,1.65,1.45,0.75,0.7,0.4,0.5,0.35,50.0,1.58,1.5,1.04,0.46,0.42,0.42,0.32,1689.3017245254118,966.1857760364352,232.0,1.5926777186596053,1.0842247636895077,1.1949030760201282,0.7555300250272464,1.0,0.5,1.45,0.75,1.5,1.04,2026-03-31,0.3833261252795525,217650000.0,0.6640883759391631,0.5798268354886323,0.5018960588803619,0.414930210236218,0.5555555555555555,0.5704671363739077,151.0,0.0055475981395751,bet365,0.0350417873440696,0.5014517458706746
Serbia,1665.0846930677328,279.0,1994-12-23,2026-03-27,1.4946236559139785,1.4838709677419355,1.1218637992831542,0.3620071684587813,0.4086021505376344,0.3225806451612903,5.0,1.2,1.0,1.6,-0.6,0.4,0.0,0.6,10.0,1.6,1.1,1.3,-0.2,0.5,0.4,0.5,20.0,1.25,0.8,1.1,-0.3,0.3,0.4,0.55,50.0,1.66,1.54,1.12,0.42,0.48,0.34,0.3,1665.0846930677328,839.2881118804797,279.0,1.4745212211539949,1.162777994516407,1.1116515320098317,0.8766262027615047,1.1,1.3,0.8,1.1,1.54,1.12,2026-03-27,0.2350253292483269,295800000.0,0.6364386808665021,0.6470742310218712,0.4493431177148813,0.3732814036985957,0.5925925925925926,0.5671750335300243,999.0,0.0005852107019491,not_listed,0.0,0.46569015883122566
Mexico,1802.6328196786055,472.0,1990-01-17,2026-03-31,1.694915254237288,1.6059322033898304,1.0466101694915255,0.559322033898305,0.4851694915254237,0.4088983050847458,5.0,2.2,1.4,0.2,1.2,0.6,0.8,0.2,10.0,1.4,0.9,0.8,0.1,0.3,0.6,0.4,20.0,1.7,1.15,0.75,0.4,0.45,0.65,0.35,50.0,1.64,1.42,0.98,0.44,0.46,0.54,0.28,1729.716489958474,930.3724204813134,472.0,1.5325282752327067,0.9997917443389582,1.1706886849562783,0.7115588443838868,0.9,0.8,1.15,0.75,1.42,0.98,2026-03-31,0.4016336775825819,124600000.0,0.7102317664951083,0.4575654070659126,0.475143148729144,0.4669942768705182,0.5185185185185185,0.5561449357315672,81.0,0.0103418187540228,bet365,0.0687322135113353,0.4951309526157844
Egypt,1720.899949671899,412.0,1990-02-14,2026-03-31,1.8592233009708736,1.7111650485436891,0.8446601941747572,0.866504854368932,0.5412621359223301,0.4611650485436893,5.0,1.2,0.6,0.4,0.2,0.2,0.6,0.8,10.0,1.3,0.7,0.9,-0.2,0.3,0.4,0.6,20.0,1.7,1.35,0.85,0.5,0.45,0.5,0.3,50.0,1.94,1.5,0.68,0.82,0.56,0.54,0.26,1692.3112550956344,903.5400647930356,412.0,1.643923038136943,0.7544785967492657,1.1945972952923023,0.5782439711894758,0.7,0.9,1.35,0.85,1.5,0.68,2026-03-31,0.6705581864277408,135430000.0,0.6675244949665479,0.4758343361856796,0.5246886459691161,0.6843739794292839,0.4814814814814814,0.5820996992426198,301.0,0.0027830143490891,bet365,0.0155411323323938,0.4621599577387366
Cameroon,1659.141918754153,338.0,1990-01-14,2026-03-27,1.6538461538461535,1.316568047337278,0.9378698224852072,0.378698224852071,0.4437869822485207,0.4437869822485207,5.0,1.4,0.6,0.8,-0.2,0.4,0.4,0.6,10.0,2.0,1.4,0.5,0.9,0.6,0.6,0.4,20.0,1.9,1.35,0.75,0.6,0.55,0.5,0.35,50.0,1.76,1.36,0.76,0.6,0.48,0.44,0.3,1659.141918754153,1004.6138634393689,338.0,1.3293716432944926,0.8897982736430146,1.0022222825129576,0.6708249429606934,1.4,0.5,1.35,0.75,1.36,0.76,2026-03-27,0.3313973395522642,200500000.0,0.6296535429794214,0.5618367799553908,0.3847843555098441,0.5496400099755229,0.7407407407407407,0.5750756639285243,999.0,0.0005852107019491,not_listed,0.0,0.4447571537809557
Australia,1778.0744598806632,278.0,1990-08-25,2026-03-31,1.7482014388489209,1.8237410071942448,0.974820143884892,0.8489208633093526,0.5179856115107914,0.4460431654676259,5.0,1.8,1.4,1.0,0.4,0.6,0.4,0.4,10.0,1.8,1.6,0.9,0.7,0.5,0.4,0.3,20.0,2.15,2.0,0.55,1.45,0.65,0.6,0.2,50.0,2.08,2.1,0.74,1.36,0.64,0.54,0.18,1770.05660023091,1074.5254701039094,278.0,1.9080860721904964,0.9477850109743148,1.3736197642680317,0.6761788572366711,1.6,0.9,2.0,0.55,2.1,0.74,2026-03-31,0.7239774718577254,67800000.0,0.7562899198315153,0.3241762602899886,0.6421815023061288,0.5036798095148094,0.6666666666666666,0.5842914004533348,999.0,0.0005852107019491,not_listed,0.0,0.446661820694836
